"FID","Latitude","Longitude","STATE_ABBR","STATE_NAME"
1187,31.80121584,-87.15045578,"AL","Alabama"
1189,31.62059769,-84.95553062,"GA","Georgia"
1190,31.51539256,-83.86236466,"GA","Georgia"
1264,32.12092909,-113.41533444,"AZ","Arizona"
1265,32.04460751,-112.60114091,"AZ","Arizona"
1270,32.47566506,-107.17836728,"NM","New Mexico"
1274,32.80013409,-102.72783072,"TX","Texas"
1275,32.85602513,-101.60976228,"TX","Texas"
1276,32.90178344,-100.49012925,"TX","Texas"
1277,32.93739365,-99.36924127,"TX","Texas"
1278,32.96284375,-98.24741008,"TX","Texas"
1281,32.97816451,-94.87939517,"TX","Texas"
1283,32.93751171,-92.63509802,"LA","Louisiana"
1285,32.85622173,-90.39456731,"MS","Mississippi"
1286,32.80036987,-89.27649222,"MS","Mississippi"
1287,32.73440389,-88.16028758,"AL","Alabama"
1289,32.57222058,-85.93470182,"AL","Alabama"
1290,32.47605662,-84.82591738,"GA","Georgia"
1291,32.36988518,-83.72019581,"GA","Georgia"
1292,32.25374047,-82.61782396,"GA","Georgia"
1293,32.13812659,-81.53190189,"GA","Georgia"
1294,32.28794285,-80.75386065,"GA","Georgia"
1369,33.10446081,-109.54472667,"AZ","Arizona"
1370,33.2217385,-108.42964538,"NM","New Mexico"
1373,33.51306166,-105.06477335,"NM","New Mexico"
1374,33.58988965,-103.93761231,"NM","New Mexico"
1376,33.71296227,-101.67684301,"TX","Texas"
1380,33.83624802,-97.1384317,"OK","Oklahoma"
1381,33.84140528,-96.00219843,"TX","Texas"
1382,33.83628778,-94.86596452,"OK","Oklahoma"
1383,33.82089733,-93.73005634,"AR","Arkansas"
1387,33.65676894,-89.19617694,"MS","Mississippi"
1389,33.51337855,-86.93958343,"AL","Alabama"
1394,32.97767254,-81.34824554,"SC","South Carolina"
1395,32.91565976,-80.29623091,"SC","South Carolina"
1463,32.95078704,-117.11180882,"CA","California"
1464,33.03759201,-116.38046025,"CA","California"
1470,33.95352929,-109.70678048,"AZ","Arizona"
1471,34.07194594,-108.57868522,"NM","New Mexico"
1475,34.44371625,-104.03345171,"NM","New Mexico"
1480,34.67694896,-98.30191887,"OK","Oklahoma"
1483,34.69257424,-94.85220804,"OK","Oklahoma"
1484,34.67702925,-93.7025287,"AR","Arkansas"
1488,34.51126022,-89.11392307,"MS","Mississippi"
1492,34.18060843,-84.55739046,"GA","Georgia"
1493,34.07238445,-83.4256871,"GA","Georgia"
1495,33.82551722,-81.17336202,"SC","South Carolina"
1496,33.68695915,-80.05333545,"SC","South Carolina"
1497,33.64993252,-79.18751189,"SC","South Carolina"
1563,33.58932516,-118.4114791,"CA","California"
1564,33.77239046,-117.63919676,"CA","California"
1565,33.87040675,-116.62603514,"CA","California"
1569,34.53083155,-112.14313673,"AZ","Arizona"
1572,34.92020713,-108.73132085,"NM","New Mexico"
1573,35.02956023,-107.58618516,"NM","New Mexico"
1575,35.21736369,-105.28601268,"NM","New Mexico"
1576,35.29574446,-104.13162799,"NM","New Mexico"
1582,35.54712295,-97.16639044,"OK","Oklahoma"
1583,35.55238597,-96.00225242,"OK","Oklahoma"
1584,35.54716352,-94.83811372,"OK","Oklahoma"
1588,35.4215197,-90.18855888,"AR","Arkansas"
1590,35.29602759,-87.87284381,"TN","Tennessee"
1591,35.21768697,-86.7184491,"TN","Tennessee"
