FID,Genus_species,Persistence,Family,Genus,Repro_strategy,M_wing_color,z.temp.change,z.all.burned,z.high.burned,z.hist.temp,z.per.obs,z.size,gen.spec,z.bio5,Change_mean_temp,future_change
3086,Aeshna_palmata,0,Aeshnidae,Aeshna,f,n,-1.566495454,1.23754449,2.402374649,-0.931743634,-1.288259942,1.339451611,spec,-2.102299695,0.231340059,0.462680118
3187,Aeshna_palmata,1,Aeshnidae,Aeshna,f,n,-1.348730805,1.066169092,2.192485731,-1.191786538,-0.524163618,1.339451611,spec,-2.102299695,0.268512049,0.537024098
3289,Aeshna_palmata,0,Aeshnidae,Aeshna,f,n,-2.607280653,-1.825743599,-0.843582062,-1.053031477,-1.288259942,1.339451611,spec,-2.102299695,0.053680107,0.107360214
2877,Aeshna_sitchensis,0,Aeshnidae,Aeshna,f,n,-1.395069942,1.211376949,2.07010573,-0.954626905,-1.288259942,0.771986632,gen,-3.093830127,0.260602051,0.521204102
1796,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,-0.230586782,0.432120392,-0.70088748,0.264988288,-0.841292246,1.536451498,spec,-1.290037193,0.459376997,0.918753995
1999,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,-0.189731013,0.958574593,-0.2654231,-0.123264956,0.239932706,1.536451498,spec,-1.290037193,0.466350996,0.932701991
2099,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,0.038197782,-0.397152519,-0.809289934,-0.082017552,1.193469531,1.536451498,spec,-1.290037193,0.505257985,1.01051597
2203,Aeshna_tuberculifera,1,Aeshnidae,Aeshna,f,n,-0.846440346,-1.030681252,-0.826017319,-0.343245318,0.775136119,1.536451498,spec,-1.290037193,0.354252026,0.708504052
2402,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,-0.050754613,-1.796306188,-0.843582062,-0.670956103,1.495997177,1.536451498,spec,-1.290037193,0.490073989,0.980147978
2403,Aeshna_tuberculifera,1,Aeshnidae,Aeshna,f,n,-0.266222808,-1.825743599,-0.843582062,-0.614357452,1.834955389,1.536451498,spec,-1.290037193,0.453293999,0.906587998
2510,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,0.946796349,-1.204443136,-0.725689461,-0.474468355,1.404080795,1.536451498,spec,-1.290037193,0.660353943,1.320707886
2608,Aeshna_tuberculifera,1,Aeshnidae,Aeshna,f,n,0.166107858,-0.837768031,-0.843582062,-0.880527215,1.070859065,1.536451498,spec,-1.290037193,0.527091979,1.054183958
3186,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,-0.595353699,0.812620219,1.73793564,-1.236960745,0.856829634,1.536451498,spec,-1.290037193,0.397112014,0.794224029
3187,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,-1.348730805,1.066169092,2.192485731,-1.191786538,-0.524163618,1.536451498,spec,-1.290037193,0.268512049,0.537024098
3285,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,-0.410887616,0.690277488,1.38912491,-1.188282967,-2.052356266,1.536451498,spec,-1.290037193,0.428600006,0.857200011
3288,Aeshna_tuberculifera,0,Aeshnidae,Aeshna,f,n,-1.635277729,0.694602885,1.627848606,-1.371450418,-0.524163618,1.536451498,spec,-1.290037193,0.219599062,0.439198124
1594,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.555640298,0.682430688,-0.356998975,0.715679469,-0.278179544,1.270959694,spec,-1.217587024,0.403891012,0.807782025
1776,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,2.58389183,0.383376862,0.763120501,-0.725016114,-0.278179544,1.270959694,spec,-1.217587024,0.939802868,1.879605735
1779,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,2.35649614,0.385242408,0.202617175,0.357198172,-0.841292246,1.270959694,spec,-1.217587024,0.900986878,1.801973756
1785,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,1.396057496,1.617557071,-0.782783619,0.531581282,0.09273331,1.270959694,spec,-1.217587024,0.737041922,1.474083845
1983,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,2.134712699,-0.733908886,-0.843582062,0.18335676,-0.841292246,1.270959694,spec,-1.217587024,0.863128888,1.726257777
1987,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,0.285341794,1.516036285,-0.843582062,0.09761232,-1.288259942,1.270959694,spec,-1.217587024,0.547444974,1.094889947
2194,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,-0.413441834,-1.825743599,-0.843582062,-0.338370589,-0.077195922,1.270959694,spec,-1.217587024,0.428164006,0.856328012
2199,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.466547304,-1.825743599,-0.843582062,-0.427584966,0.686900402,1.270959694,spec,-1.217587024,0.419099008,0.838198017
2203,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.846440346,-1.030681252,-0.826017319,-0.343245318,0.775136119,1.270959694,spec,-1.217587024,0.354252026,0.708504052
2204,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.970888168,-1.26209535,-0.843582062,-0.097775214,0.239932706,1.270959694,spec,-1.217587024,0.333009031,0.666018063
2282,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,1.262060649,0.846903501,1.82990164,-1.169072559,-0.077195922,1.270959694,spec,-1.217587024,0.714168929,1.428337857
2296,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.807834163,-0.352194586,-0.843582062,-0.472285116,0.686900402,1.270959694,spec,-1.217587024,0.360842024,0.721684048
2301,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.336457942,-1.825743599,-0.843582062,-0.554441339,1.35507904,1.270959694,spec,-1.217587024,0.441305002,0.882610004
