FID,Persistence,Family,Genus,Genus_species,Repro_strategy,M_wing_color,z.temp.change,z.burned
1165,1,Libellulidae,Pantala,Pantala_hymenaea,f,y,-0.070045988,1.354770969
1165,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,-0.070045988,1.354770969
1165,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.070045988,1.354770969
1166,1,Libellulidae,Libellula,Libellula_saturata,p,y,1.287526669,1.009293562
1166,1,Aeshnidae,Rhionaeschna,Rhionaeschna_multicolor,f,n,1.287526669,1.009293562
1166,0,Libellulidae,Pantala,Pantala_flavescens,f,n,1.287526669,1.009293562
1167,1,Aeshnidae,Rhionaeschna,Rhionaeschna_multicolor,f,n,1.279430502,1.681131602
1167,0,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.279430502,1.681131602
1167,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,1.279430502,1.681131602
1167,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.279430502,1.681131602
1167,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,1.279430502,1.681131602
1167,1,Libellulidae,Libellula,Libellula_saturata,p,y,1.279430502,1.681131602
1171,1,Libellulidae,Pantala,Pantala_hymenaea,f,y,1.944581642,1.15660173
1177,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.873637655,-0.187039435
1177,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.873637655,-0.187039435
1179,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,2.049169834,-0.974789473
1179,1,Libellulidae,Libellula,Libellula_incesta,p,n,2.049169834,-0.974789473
1182,1,Corduliidae,Epitheca,Epitheca_cynosura,p,y,-0.69657337,-0.237635788
1185,1,Corduliidae,Epitheca,Epitheca_cynosura,p,y,-0.88081098,-0.465984057
1188,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-0.821999527,-0.974789473
1191,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,0.608889727,0.653988652
1192,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,0.261768004,0.48680328
1192,1,Aeshnidae,Anax,Anax_junius,f,n,0.261768004,0.48680328
1266,1,Libellulidae,Libellula,Libellula_saturata,p,y,0.366198022,1.455252794
1267,1,Libellulidae,Libellula,Libellula_saturata,p,y,1.447112562,1.298885322
1268,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,1.671971609,0.830801003
1268,1,Aeshnidae,Rhionaeschna,Rhionaeschna_multicolor,f,n,1.671971609,0.830801003
1269,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,1.883579186,0.379343771
1271,0,Libellulidae,Sympetrum,Sympetrum_vicinum,p,y,1.587008715,1.201681943
1271,1,Libellulidae,Libellula,Libellula_pulchella,p,y,1.587008715,1.201681943
1272,1,Libellulidae,Libellula,Libellula_saturata,p,y,1.321827003,0.810004563
1273,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.722429128,1.231245519
1273,1,Libellulidae,Libellula,Libellula_saturata,p,y,1.722429128,1.231245519
1279,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,1.696769784,-0.325144456
1279,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.696769784,-0.325144456
1279,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.696769784,-0.325144456
1280,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,1.657273139,-0.974789473
1280,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.657273139,-0.974789473
1282,1,Libellulidae,Pantala,Pantala_hymenaea,f,y,-0.797681733,-0.344861323
1284,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,-1.614082407,-0.974789473
1284,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,-1.614082407,-0.974789473
1284,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-1.614082407,-0.974789473
1288,1,Libellulidae,Plathemis,Plathemis_lydia,p,y,-0.945556888,-0.141271853
1288,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,-0.945556888,-0.141271853
1294,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.242605511,-0.358672319
1294,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,0.242605511,-0.358672319
1294,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,0.242605511,-0.358672319
1369,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,0.675750481,0.971526379
1369,1,Aeshnidae,Rhionaeschna,Rhionaeschna_multicolor,f,n,0.675750481,0.971526379
1369,0,Aeshnidae,Aeshna,Aeshna_interrupta,f,n,0.675750481,0.971526379
1369,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,0.675750481,0.971526379
1369,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.675750481,0.971526379
1369,1,Aeshnidae,Anax,Anax_junius,f,n,0.675750481,0.971526379
